SITE,DATE,SPECIES,fishTotalLength,fishWeight,before_after
GUIL,2017-02-20,Poecilia_reticulata,24,1,before
GUIL,2017-02-20,Poecilia_reticulata,22,0,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,28,1,before
GUIL,2017-02-20,Poecilia_reticulata,30,1,before
GUIL,2017-02-20,Poecilia_reticulata,30,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,22,1,before
GUIL,2017-02-20,Poecilia_reticulata,27,1,before
GUIL,2017-02-20,Poecilia_reticulata,22,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,29,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,22,2,before
GUIL,2017-02-20,Poecilia_reticulata,22,1,before
GUIL,2017-02-20,Poecilia_reticulata,22,0,before
GUIL,2017-02-20,Poecilia_reticulata,22,1,before
GUIL,2017-02-20,Poecilia_reticulata,28,1,before
GUIL,2017-02-20,Poecilia_reticulata,20,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,28,1,before
GUIL,2017-02-20,Poecilia_reticulata,29,1,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,28,1,before
GUIL,2017-02-20,Poecilia_reticulata,24,1,before
GUIL,2017-02-20,Poecilia_reticulata,24,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,23,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,25,1,before
GUIL,2017-02-20,Poecilia_reticulata,26,1,before
GUIL,2017-12-05,Poecilia_reticulata,25,1,after
GUIL,2017-12-05,Poecilia_reticulata,26,0,after
GUIL,2017-12-07,Poecilia_reticulata,24,0,after
GUIL,2018-02-05,Poecilia_reticulata,23,0,after
GUIL,2018-02-05,Poecilia_reticulata,24,1,after
GUIL,2018-02-05,Poecilia_reticulata,25,0,after
GUIL,2018-02-05,Poecilia_reticulata,27,0,after
GUIL,2018-02-05,Poecilia_reticulata,20,0,after
GUIL,2018-02-05,Poecilia_reticulata,22,0,after
GUIL,2018-02-05,Poecilia_reticulata,21,0,after
GUIL,2018-02-05,Poecilia_reticulata,38,1,after
GUIL,2018-02-05,Poecilia_reticulata,25,0,after
GUIL,2018-02-05,Poecilia_reticulata,24,1,after
GUIL,2018-02-06,Poecilia_reticulata,20,0,after
GUIL,2018-02-06,Poecilia_reticulata,20,0,after
GUIL,2018-02-06,Poecilia_reticulata,25,0,after
GUIL,2018-02-06,Poecilia_reticulata,26,0,after
GUIL,2018-02-06,Poecilia_reticulata,27,0,after
GUIL,2018-02-06,Poecilia_reticulata,27,0,after
GUIL,2018-02-06,Poecilia_reticulata,20,0,after
GUIL,2018-02-06,Poecilia_reticulata,18,0,after
GUIL,2018-02-06,Poecilia_reticulata,27,0,after
GUIL,2018-02-06,Poecilia_reticulata,25,0,after
GUIL,2018-02-06,Poecilia_reticulata,25,0,after
GUIL,2018-02-06,Poecilia_reticulata,25,0,after
GUIL,2018-02-07,Poecilia_reticulata,22,0,after
GUIL,2018-02-07,Poecilia_reticulata,15,0,after
GUIL,2018-02-07,Poecilia_reticulata,23,0,after
GUIL,2018-02-07,Poecilia_reticulata,25,0,after
GUIL,2018-02-07,Poecilia_reticulata,29,0,after
GUIL,2018-02-07,Poecilia_reticulata,22,0,after
GUIL,2018-02-07,Poecilia_reticulata,20,0,after
GUIL,2018-02-07,Poecilia_reticulata,24,0,after
GUIL,2018-02-07,Poecilia_reticulata,25,0,after
GUIL,2018-02-07,Poecilia_reticulata,16,0,after
GUIL,2018-02-07,Poecilia_reticulata,21,0,after
GUIL,2018-02-07,Poecilia_reticulata,26,0,after
GUIL,2018-02-07,Poecilia_reticulata,22,0,after
GUIL,2018-02-07,Poecilia_reticulata,27,0,after
GUIL,2018-02-07,Poecilia_reticulata,12,0,after
GUIL,2018-02-07,Poecilia_reticulata,27,0,after
GUIL,2018-02-07,Poecilia_reticulata,35,1,after
GUIL,2018-02-07,Poecilia_reticulata,20,0,after
GUIL,2018-02-07,Poecilia_reticulata,26,0,after
GUIL,2018-02-07,Poecilia_reticulata,25,0,after
GUIL,2018-02-07,Poecilia_reticulata,24,0,after
GUIL,2018-02-07,Poecilia_reticulata,10,0,after
GUIL,2018-02-07,Poecilia_reticulata,19,0,after
GUIL,2018-02-07,Poecilia_reticulata,17,0,after
GUIL,2018-02-07,Poecilia_reticulata,26,0,after
GUIL,2018-02-07,Poecilia_reticulata,29,0,after
GUIL,2018-02-07,Poecilia_reticulata,37,1,after
GUIL,2018-02-07,Poecilia_reticulata,14,0,after
GUIL,2018-02-07,Poecilia_reticulata,19,0,after
GUIL,2018-02-07,Poecilia_reticulata,29,0,after
GUIL,2018-02-07,Poecilia_reticulata,21,0,after
GUIL,2018-02-07,Poecilia_reticulata,20,0,after
GUIL,2018-02-08,Poecilia_reticulata,34,0,after
GUIL,2018-02-08,Poecilia_reticulata,12,0,after
GUIL,2018-02-08,Poecilia_reticulata,21,0,after
GUIL,2018-02-08,Poecilia_reticulata,32,1,after
GUIL,2018-02-08,Poecilia_reticulata,30,0,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,12,0,after
GUIL,2018-02-08,Poecilia_reticulata,21,0,after
GUIL,2018-02-08,Poecilia_reticulata,27,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,22,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,15,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,26,0,after
GUIL,2018-02-08,Poecilia_reticulata,34,1,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,32,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,19,0,after
GUIL,2018-02-08,Poecilia_reticulata,31,1,after
GUIL,2018-02-08,Poecilia_reticulata,20,0,after
GUIL,2018-02-08,Poecilia_reticulata,27,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,25,0,after
GUIL,2018-02-08,Poecilia_reticulata,30,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,10,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,31,0,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,13,0,after
GUIL,2018-02-08,Poecilia_reticulata,15,0,after
GUIL,2018-02-08,Poecilia_reticulata,21,0,after
GUIL,2018-02-08,Poecilia_reticulata,31,1,after
GUIL,2018-02-08,Poecilia_reticulata,25,1,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,24,0,after
GUIL,2018-02-08,Poecilia_reticulata,23,0,after
GUIL,2018-02-08,Poecilia_reticulata,30,0,after
GUIL,2018-02-08,Poecilia_reticulata,20,0,after
GUIL,2018-02-08,Poecilia_reticulata,28,1,after
GUIL,2018-02-08,Poecilia_reticulata,30,0,after
GUIL,2018-02-08,Poecilia_reticulata,34,0,after
GUIL,2018-02-08,Poecilia_reticulata,28,0,after
GUIL,2018-02-08,Poecilia_reticulata,55,2,after
GUIL,2018-02-08,Poecilia_reticulata,50,2,after
GUIL,2018-02-08,Poecilia_reticulata,0,0,after
GUIL,2018-02-08,Poecilia_reticulata,0,1,after
GUIL,2018-12-03,Poecilia_reticulata,25,0,after
GUIL,2018-12-03,Poecilia_reticulata,26,1,after
GUIL,2018-12-03,Poecilia_reticulata,27,0,after
GUIL,2018-12-03,Poecilia_reticulata,29,1,after
GUIL,2018-12-03,Poecilia_reticulata,27,0,after
GUIL,2018-12-03,Poecilia_reticulata,24,1,after
GUIL,2018-12-03,Poecilia_reticulata,23,1,after
GUIL,2018-12-03,Poecilia_reticulata,25,1,after
GUIL,2018-12-03,Poecilia_reticulata,26,5,after
GUIL,2018-12-03,Poecilia_reticulata,24,1,after
GUIL,2018-12-03,Poecilia_reticulata,24,0,after
GUIL,2018-12-03,Poecilia_reticulata,28,0,after
GUIL,2018-12-03,Poecilia_reticulata,24,1,after
GUIL,2018-12-03,Poecilia_reticulata,27,0,after
GUIL,2018-12-03,Poecilia_reticulata,27,1,after
GUIL,2018-12-03,Poecilia_reticulata,46,1,after
GUIL,2018-12-03,Poecilia_reticulata,28,1,after
GUIL,2018-12-03,Poecilia_reticulata,25,1,after
GUIL,2018-12-03,Poecilia_reticulata,24,0,after
GUIL,2018-12-03,Poecilia_reticulata,22,0,after
GUIL,2018-12-03,Poecilia_reticulata,26,0,after
GUIL,2018-12-03,Poecilia_reticulata,31,1,after
GUIL,2018-12-03,Poecilia_reticulata,38,2,after
GUIL,2018-12-03,Poecilia_reticulata,38,1,after
GUIL,2018-12-03,Poecilia_reticulata,32,1,after
GUIL,2018-12-03,Poecilia_reticulata,20,0,after
GUIL,2018-12-03,Poecilia_reticulata,24,1,after
GUIL,2018-12-03,Poecilia_reticulata,22,0,after
GUIL,2018-12-03,Poecilia_reticulata,20,0,after
GUIL,2018-12-03,Poecilia_reticulata,25,1,after
GUIL,2018-12-03,Poecilia_reticulata,22,1,after
GUIL,2018-12-03,Poecilia_reticulata,30,1,after
GUIL,2018-12-03,Poecilia_reticulata,30,1,after
GUIL,2018-12-03,Poecilia_reticulata,32,1,after
GUIL,2018-12-03,Poecilia_reticulata,26,1,after
GUIL,2018-12-03,Poecilia_reticulata,44,1,after
GUIL,2018-12-03,Poecilia_reticulata,27,1,after
GUIL,2018-12-03,Poecilia_reticulata,25,1,after
GUIL,2018-12-03,Poecilia_reticulata,28,0,after
GUIL,2018-12-03,Poecilia_reticulata,15,0,after
GUIL,2018-12-03,Poecilia_reticulata,27,1,after
GUIL,2018-12-03,Poecilia_reticulata,26,0,after
GUIL,2018-12-03,Poecilia_reticulata,19,0,after
GUIL,2018-12-03,Poecilia_reticulata,26,1,after
GUIL,2018-12-03,Poecilia_reticulata,23,1,after
GUIL,2018-12-03,Poecilia_reticulata,23,1,after
GUIL,2018-12-03,Poecilia_reticulata,25,0,after
GUIL,2018-12-03,Poecilia_reticulata,27,0,after
GUIL,2018-12-03,Poecilia_reticulata,33,1,after
GUIL,2018-12-03,Poecilia_reticulata,20,1,after
GUIL,2018-12-04,Poecilia_reticulata,27,1,after
GUIL,2018-12-04,Poecilia_reticulata,30,0,after
GUIL,2018-12-04,Poecilia_reticulata,32,1,after
GUIL,2018-12-04,Poecilia_reticulata,35,0,after
GUIL,2018-12-04,Poecilia_reticulata,31,0,after
GUIL,2018-12-04,Poecilia_reticulata,34,1,after
GUIL,2018-12-04,Poecilia_reticulata,33,0,after
GUIL,2018-12-04,Poecilia_reticulata,21,1,after
GUIL,2018-12-04,Poecilia_reticulata,34,1,after
GUIL,2018-12-04,Poecilia_reticulata,22,1,after
GUIL,2018-12-04,Poecilia_reticulata,22,1,after
GUIL,2018-12-04,Poecilia_reticulata,31,0,after
GUIL,2018-12-04,Poecilia_reticulata,23,1,after
GUIL,2018-12-04,Poecilia_reticulata,15,0,after
GUIL,2018-12-04,Poecilia_reticulata,16,0,after
GUIL,2018-12-04,Poecilia_reticulata,29,0,after
GUIL,2018-12-04,Poecilia_reticulata,29,0,after
GUIL,2018-12-04,Poecilia_reticulata,33,0,after
GUIL,2018-12-04,Poecilia_reticulata,16,1,after
GUIL,2018-12-04,Poecilia_reticulata,32,0,after
GUIL,2018-12-04,Poecilia_reticulata,41,0,after
GUIL,2018-12-04,Poecilia_reticulata,21,0,after
GUIL,2018-12-04,Poecilia_reticulata,35,0,after
GUIL,2018-12-04,Poecilia_reticulata,14,0,after
GUIL,2018-12-04,Poecilia_reticulata,25,1,after
GUIL,2018-12-04,Poecilia_reticulata,33,0,after
GUIL,2018-12-04,Poecilia_reticulata,31,0,after
GUIL,2018-12-04,Poecilia_reticulata,18,0,after
GUIL,2018-12-04,Poecilia_reticulata,22,0,after
GUIL,2018-12-04,Poecilia_reticulata,22,0,after
GUIL,2018-12-04,Poecilia_reticulata,41,1,after
GUIL,2018-12-04,Poecilia_reticulata,27,0,after
GUIL,2018-12-04,Poecilia_reticulata,29,0,after
GUIL,2018-12-04,Poecilia_reticulata,24,0,after
GUIL,2018-12-04,Poecilia_reticulata,29,0,after
GUIL,2018-12-04,Poecilia_reticulata,34,0,after
GUIL,2018-12-04,Poecilia_reticulata,31,0,after
GUIL,2018-12-04,Poecilia_reticulata,28,0,after
GUIL,2018-12-04,Poecilia_reticulata,29,0,after
GUIL,2018-12-04,Poecilia_reticulata,37,0,after
GUIL,2018-12-04,Poecilia_reticulata,19,0,after
GUIL,2018-12-04,Poecilia_reticulata,15,0,after
GUIL,2018-12-04,Poecilia_reticulata,35,0,after
GUIL,2018-12-04,Poecilia_reticulata,32,0,after
GUIL,2018-12-04,Poecilia_reticulata,28,0,after
GUIL,2018-12-04,Poecilia_reticulata,17,1,after
GUIL,2018-12-04,Poecilia_reticulata,31,0,after
GUIL,2018-12-04,Poecilia_reticulata,30,1,after
GUIL,2018-12-04,Poecilia_reticulata,33,0,after
GUIL,2018-12-04,Poecilia_reticulata,38,0,after
GUIL,2018-12-05,Poecilia_reticulata,34,1,after
GUIL,2018-12-05,Poecilia_reticulata,38,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,32,0,after
GUIL,2018-12-05,Poecilia_reticulata,37,1,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,41,1,after
GUIL,2018-12-05,Poecilia_reticulata,36,1,after
GUIL,2018-12-05,Poecilia_reticulata,34,0,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,35,0,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,38,1,after
GUIL,2018-12-05,Poecilia_reticulata,38,0,after
GUIL,2018-12-05,Poecilia_reticulata,31,0,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,40,1,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,44,1,after
GUIL,2018-12-05,Poecilia_reticulata,40,1,after
GUIL,2018-12-05,Poecilia_reticulata,38,1,after
GUIL,2018-12-05,Poecilia_reticulata,31,0,after
GUIL,2018-12-05,Poecilia_reticulata,26,0,after
GUIL,2018-12-05,Poecilia_reticulata,26,0,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,24,0,after
GUIL,2018-12-05,Poecilia_reticulata,29,0,after
GUIL,2018-12-05,Poecilia_reticulata,43,1,after
GUIL,2018-12-05,Poecilia_reticulata,42,1,after
GUIL,2018-12-05,Poecilia_reticulata,35,0,after
GUIL,2018-12-05,Poecilia_reticulata,40,1,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,40,1,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,32,0,after
GUIL,2018-12-05,Poecilia_reticulata,50,1,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,42,1,after
GUIL,2018-12-05,Poecilia_reticulata,34,1,after
GUIL,2018-12-05,Poecilia_reticulata,37,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,29,0,after
GUIL,2018-12-05,Poecilia_reticulata,43,1,after
GUIL,2018-12-05,Poecilia_reticulata,38,1,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,32,0,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,41,1,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,31,0,after
GUIL,2018-12-05,Poecilia_reticulata,23,0,after
GUIL,2018-12-05,Poecilia_reticulata,41,1,after
GUIL,2018-12-05,Poecilia_reticulata,36,0,after
GUIL,2018-12-05,Poecilia_reticulata,44,1,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,23,0,after
GUIL,2018-12-05,Poecilia_reticulata,45,1,after
GUIL,2018-12-05,Poecilia_reticulata,45,1,after
GUIL,2018-12-05,Poecilia_reticulata,41,1,after
GUIL,2018-12-05,Poecilia_reticulata,43,1,after
GUIL,2018-12-05,Poecilia_reticulata,50,1,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,15,0,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,33,0,after
GUIL,2018-12-05,Poecilia_reticulata,24,0,after
GUIL,2018-12-05,Poecilia_reticulata,43,1,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,23,0,after
GUIL,2018-12-05,Poecilia_reticulata,35,0,after
GUIL,2018-12-05,Poecilia_reticulata,43,1,after
GUIL,2018-12-05,Poecilia_reticulata,23,0,after
GUIL,2018-12-05,Poecilia_reticulata,26,0,after
GUIL,2018-12-05,Poecilia_reticulata,40,1,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,23,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,47,1,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,26,0,after
GUIL,2018-12-05,Poecilia_reticulata,37,1,after
GUIL,2018-12-05,Poecilia_reticulata,29,0,after
GUIL,2018-12-05,Poecilia_reticulata,33,0,after
GUIL,2018-12-05,Poecilia_reticulata,33,0,after
GUIL,2018-12-05,Poecilia_reticulata,24,0,after
GUIL,2018-12-05,Poecilia_reticulata,28,0,after
GUIL,2018-12-05,Poecilia_reticulata,44,1,after
GUIL,2018-12-05,Poecilia_reticulata,32,0,after
GUIL,2018-12-05,Poecilia_reticulata,25,0,after
GUIL,2018-12-05,Poecilia_reticulata,27,0,after
GUIL,2018-12-05,Poecilia_reticulata,30,0,after
GUIL,2018-12-05,Poecilia_reticulata,33,0,after
GUIL,2018-12-06,Poecilia_reticulata,24,0,after
GUIL,2018-12-06,Poecilia_reticulata,31,0,after
GUIL,2018-12-06,Poecilia_reticulata,31,0,after
GUIL,2018-12-06,Poecilia_reticulata,26,0,after
GUIL,2018-12-06,Poecilia_reticulata,24,0,after
GUIL,2018-12-06,Poecilia_reticulata,25,0,after
GUIL,2018-12-06,Poecilia_reticulata,26,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-06,Poecilia_reticulata,32,0,after
GUIL,2018-12-06,Poecilia_reticulata,42,1,after
GUIL,2018-12-06,Poecilia_reticulata,28,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-06,Poecilia_reticulata,30,0,after
GUIL,2018-12-06,Poecilia_reticulata,21,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-06,Poecilia_reticulata,35,0,after
GUIL,2018-12-06,Poecilia_reticulata,30,0,after
GUIL,2018-12-06,Poecilia_reticulata,28,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,34,0,after
GUIL,2018-12-06,Poecilia_reticulata,30,0,after
GUIL,2018-12-06,Poecilia_reticulata,30,0,after
GUIL,2018-12-06,Poecilia_reticulata,25,0,after
GUIL,2018-12-06,Poecilia_reticulata,29,0,after
GUIL,2018-12-06,Poecilia_reticulata,35,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-06,Poecilia_reticulata,25,0,after
GUIL,2018-12-06,Poecilia_reticulata,34,1,after
GUIL,2018-12-06,Poecilia_reticulata,32,0,after
GUIL,2018-12-06,Poecilia_reticulata,26,0,after
GUIL,2018-12-06,Poecilia_reticulata,25,0,after
GUIL,2018-12-06,Poecilia_reticulata,33,0,after
GUIL,2018-12-06,Poecilia_reticulata,41,1,after
GUIL,2018-12-06,Poecilia_reticulata,34,0,after
GUIL,2018-12-06,Poecilia_reticulata,30,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-06,Poecilia_reticulata,49,1,after
GUIL,2018-12-06,Poecilia_reticulata,25,0,after
GUIL,2018-12-06,Poecilia_reticulata,37,1,after
GUIL,2018-12-06,Poecilia_reticulata,26,0,after
GUIL,2018-12-06,Poecilia_reticulata,28,0,after
GUIL,2018-12-06,Poecilia_reticulata,29,0,after
GUIL,2018-12-06,Poecilia_reticulata,27,0,after
GUIL,2018-12-06,Poecilia_reticulata,35,0,after
GUIL,2018-12-06,Poecilia_reticulata,35,0,after
GUIL,2018-12-06,Poecilia_reticulata,23,0,after
GUIL,2018-12-07,Poecilia_reticulata,30,0,after
GUIL,2018-12-07,Poecilia_reticulata,37,1,after
GUIL,2018-12-07,Poecilia_reticulata,23,0,after
GUIL,2018-12-07,Poecilia_reticulata,26,0,after
GUIL,2018-12-07,Poecilia_reticulata,23,0,after
GUIL,2018-12-07,Poecilia_reticulata,27,0,after
GUIL,2018-12-07,Poecilia_reticulata,25,0,after
GUIL,2018-12-07,Poecilia_reticulata,37,1,after
GUIL,2018-12-07,Poecilia_reticulata,35,1,after
GUIL,2018-12-07,Poecilia_reticulata,33,0,after
GUIL,2018-12-07,Poecilia_reticulata,29,0,after
GUIL,2018-12-07,Poecilia_reticulata,32,0,after
GUIL,2018-12-07,Poecilia_reticulata,26,0,after
GUIL,2018-12-07,Poecilia_reticulata,30,0,after
GUIL,2018-12-07,Poecilia_reticulata,30,0,after
GUIL,2018-12-07,Poecilia_reticulata,42,1,after
GUIL,2018-12-07,Poecilia_reticulata,35,1,after
GUIL,2018-12-07,Poecilia_reticulata,28,0,after
GUIL,2018-12-07,Poecilia_reticulata,28,0,after
GUIL,2018-12-07,Poecilia_reticulata,31,0,after
GUIL,2018-12-07,Poecilia_reticulata,28,0,after
GUIL,2018-12-07,Poecilia_reticulata,28,0,after
GUIL,2018-12-07,Poecilia_reticulata,43,1,after
GUIL,2018-12-07,Poecilia_reticulata,27,0,after
GUIL,2018-12-07,Poecilia_reticulata,25,0,after
GUIL,2018-12-07,Poecilia_reticulata,33,0,after
GUIL,2018-12-07,Poecilia_reticulata,32,0,after
